sample_id,true_logK,pred_cnn_logK,pred_gnn_logK,true_dP,pred_cnn_dP,pred_gnn_dP
0,-17.108692167772578,-17.138483746268154,-17.22086812342838,37.72564696711105,36.069556408342066,41.718131067078616
3,-16.69954871789222,-16.731187519449925,-16.741432501710314,25.05281982792792,24.38505437670733,24.6566793461825
4,-16.70628356110786,-16.770089171859475,-16.716890125462093,25.26245155089032,25.939618386083453,23.87725714858766
5,-16.646242147869785,-16.684962506942043,-16.687115289978827,23.90807960125335,20.529070615687942,22.984456403921968
6,-16.821470261980245,-16.807577680544043,-16.859091944584726,28.28355183914198,25.529931643099417,28.99255016804932
7,-17.100738525347346,-17.181615018447435,-17.193934099958256,37.411628723341444,39.12655804024263,41.43593528252194
8,-16.797039025847738,-16.85883524071999,-16.811131117018626,27.528345095541567,29.76306708076072,27.319413882867025
9,-16.166400876449472,-16.81520087450682,-16.8432910783205,14.712742117050084,25.880037497949957,28.516888370894435
10,-17.06061935404542,-17.073866248013744,-17.103279511867548,35.94421004493532,36.84356740320853,38.46611655805896
11,-17.084894179573027,-17.113068569345476,-17.158115229575753,36.816734318352935,37.21217287826313,40.35281067755196
12,-16.966945649755196,-17.048559921076627,-17.037324455170786,32.72689433690374,36.202332582913925,35.52648810443631
13,-16.851308821368363,-16.826230668726225,-16.840938099085527,29.152656196452767,26.198333295466682,28.39651850147527
14,-16.9455471005569,-16.917723663158355,-16.893547238930193,32.043479945203444,30.941785501528898,30.36102266247508
15,-16.64064408821794,-16.6951882682243,-16.720861902842252,23.611614460412284,23.62259601185383,23.94240077743325
16,-16.770849237646296,-16.713722548449205,-16.822643913657146,26.854229116629426,24.97081036122279,27.636009316067543
17,-16.870029451320278,-16.89570720471926,-16.88586544442433,29.566859891019703,27.745622716039293,30.00330612699986
18,-17.049732208198023,-17.04701075711964,-17.03325545425746,35.55487829351236,34.79935899982996,35.4685302565326
19,-16.697948454261663,-16.77976398757866,-16.856778512344828,25.04867341949182,27.655303589591654,28.967945796867753
20,-16.693025573324228,-16.75548980090162,-16.810367870059466,24.884096374606315,23.754945755572862,27.062756866001564
21,-16.735309615594602,-16.768663939679605,-16.759360651403576,25.601572026374242,26.6432446049472,25.40007005067605
22,-17.10845375146304,-16.933226018256107,-16.94903340592363,37.92146684260855,32.31334751427886,32.320459416266885
23,-16.664377207709173,-16.73767647478678,-16.72471436951669,24.13646739147498,24.428320648191402,24.18294605767801
24,-16.96522903056059,-16.98733223036071,-16.99328832258779,32.5203934738563,33.82811258669955,34.138196336563055
25,-17.042690276684635,-17.069761330199697,-17.057846164442903,35.57884588935849,36.219122627857075,36.76774371986974
26,-16.645671847384484,-16.671252558284117,-16.723230737709883,23.736865699881037,23.723348530872954,24.40299356475657
27,-17.256971365503464,-17.345553670960577,-17.21798929640579,43.767513341831204,43.22060199255117,42.21897601768569
28,-16.668710701127274,-16.609800479286882,-16.750845523689023,24.27136806446083,19.693667310695673,25.08205522285948
29,-17.07759284909314,-17.03293808836625,-17.061744155367812,36.35207364290652,34.22608281662855,36.54390541859411
30,-17.217267990692466,-17.106596390506954,-17.095038111475496,41.86435321125225,39.96625627716372,38.13018751940423
31,-16.74444008249757,-16.65742380121084,-16.737805094607346,26.197893084083603,21.51700754770968,24.594829264067357
32,-16.891008378772554,-16.86659991313679,-16.843905278984078,30.280006159533173,30.06896958806999,28.527717570918185
33,-17.1616516132923,-17.17588510757365,-17.125816560788394,39.59257116946543,39.14886948430711,38.94552034336627
34,-17.190629958565463,-17.21350324065952,-17.182608816686102,40.9481202060615,41.803269096943666,41.0496176392993
35,-16.90961457023533,-16.867290495422523,-16.894058168693842,30.298656576060466,30.579435645548642,30.323855041212937
36,-16.89605331626973,-16.79966446412203,-16.896955831605283,30.482385495657468,26.065084754941154,31.16409531232398
37,-17.170019151353337,-17.215479820234755,-17.14838427453629,40.213035524781645,43.33507838853217,39.683949865572515
38,-16.988656996095216,-17.054262925995033,-17.011543697713638,33.43437948703081,35.616614112064156,34.41063301754937
39,-16.89853478138117,-16.84783772702832,-16.932322046278482,30.53415665106263,27.22619089246109,31.990036752127594
40,-17.07436180141346,-17.0995138786407,-17.077461071121878,36.47796634691892,37.23623904317982,36.718226446745945
41,-16.97264480371537,-16.994945478974177,-16.99170594049438,32.909129982930835,34.76212553825661,33.99024320467265
42,-17.196893686900726,-17.129406538887345,-17.174762714628933,41.185085227988054,36.59959153651581,41.09080458188521
43,-17.246856694107883,-17.154963407737448,-17.07789831488835,43.30006014719697,38.83877769580096,38.38457878742061
44,-17.141265865651643,-17.127045171403203,-17.14765433780012,38.95830149808147,39.676656902728666,40.070506754112046
45,-17.047929763799097,-17.08886828841765,-17.04035501574244,35.485366810765356,37.181639816732755,35.75469330263209
46,-17.28395080439448,-17.22592831380977,-17.26261655673496,44.92615123326584,43.033512920327496,44.3286381596896
47,-16.90225983373193,-16.86676801298038,-16.93678198292555,30.677995529087525,28.85471653887464,32.25135771289865
48,-16.967607501031807,-16.98779467236071,-16.96430022869571,32.75020601778908,33.85586427787388,32.929865853036404
49,-17.011917112931435,-17.04749118111486,-17.054684824202102,34.39609149579249,37.02468417066213,36.397731314880104
50,-16.748846039672948,-16.774196098835,-16.790504345344264,26.412550107078232,27.860443625276616,26.709876531060104
51,-17.53892900033736,-17.473129497735783,-17.474258144195595,58.15319797234861,51.29646853184613,53.694551812948475
52,-16.884656900309775,-16.82683535935881,-16.880238971880594,30.14404285454782,26.970955566966722,29.874424483394478
53,-16.355125432324883,-16.95674385609506,-16.870052908280524,17.88290563546252,31.774161300583103,29.779358729859723
54,-16.987087250790346,-17.07977107313713,-17.0350690280506,33.44340152362889,36.30245196312643,35.746724328220836
55,-17.22913932219659,-17.176103536912244,-17.223384414005427,42.46501934670886,41.350192823288296,43.631422184148505
56,-16.74735450516433,-16.73252160267078,-16.796970781329563,26.271122056262584,25.53094144973295,26.674805847151447
57,-17.09888076674472,-17.061305639655625,-17.027277499842057,37.32656860072328,36.695471872505514,35.54010001458988
58,-16.838665000762283,-16.809374205764897,-16.8413292325961,28.785529855569848,27.320906773644424,28.56241158699993
59,-16.779909132752376,-16.874643490652645,-16.863242269448158,27.14495083869508,30.828561602630884,29.474279226440558
60,-16.785289767646365,-16.856744440314777,-16.847364803902614,27.28626405175862,28.82743568248395,28.837324744110447
61,-16.970037456265874,-16.995842167741447,-16.989647973136307,32.72122173474213,34.493124228624595,34.2925675590225
62,-17.0640296937492,-17.08614051685212,-17.055619980040152,36.16334535746964,36.208484058501824,36.35635737815451
63,-17.30882645030273,-17.32628896008064,-17.32833334885573,46.09017195293427,47.4491948315316,45.971610395318294
64,-17.05484962462583,-17.05524041653971,-17.040758647911698,35.730922653530826,37.128760094227246,35.7611967559302
65,-17.176452637090414,-17.144259733911817,-17.107909151501634,40.366317702558604,37.767107175697916,38.51759286753558
66,-17.160366059692624,-17.235580710635475,-17.14232585738948,39.71371849046636,40.42192558726168,40.0978046447693
67,-16.670282367692806,-16.677919625785925,-16.725544923385335,24.321809398696587,24.066926242308682,24.206786375015554
68,-16.82156372147496,-16.785835573104656,-16.84797369703129,28.20333077902967,25.121287626904518,28.623871220757906
69,-17.21222114449189,-17.261882024041913,-17.215377453457492,41.81834805938041,44.383015366482596,42.85963593148381
70,-16.98029517995863,-16.997740289560998,-16.98868215247121,33.16516878989745,33.061148754038356,33.858780773984904
71,-16.85030556332774,-16.849265604604135,-16.83228675022282,29.166208582371496,26.941145983274623,28.24764590198299
72,-17.202730183790877,-17.16906909423433,-17.160406276408192,41.443740804532695,39.76524886938461,40.53483483071892
73,-16.958946231934306,-16.95191336309955,-16.998688609592477,32.822307666034874,31.546910404107336,34.04511497938472
74,-17.16575241232532,-17.163315207366917,-17.247050360531272,39.93848047006145,42.61091458608149,42.85385653021274
75,-17.391195289947532,-17.374592751510896,-17.446860782974312,50.396342669766,49.55592401734668,51.13783778576476
76,-16.704648974302067,-16.645257558287888,-16.7519242090001,25.186660931254323,20.672427940739,25.206257610858984
77,-17.002790450878013,-16.994472723278594,-17.031645073661714,33.92435466160839,34.050724037990165,35.581259970304046
78,-17.385280619932907,-17.415137898008787,-17.41405646684369,49.721882177597536,50.050575385190086,50.56101388160823
79,-16.965848923848352,-16.86776763778733,-16.90581702064127,32.63687914770668,31.46725281456537,30.710532892184688
80,-16.98278427151218,-17.03963053827472,-17.01277465235017,33.245525358557245,35.07354944468722,35.404281979360945
81,-16.69839478948382,-16.68934234501822,-16.77254282682747,25.012947394811135,23.47259494005084,25.781032043932896
82,-17.152656555501387,-17.145087407982345,-17.145167489810223,39.44772344178827,39.87665450387425,40.2016397918475
83,-16.56190109857596,-16.621295762734526,-16.66754622462112,21.82055281876069,21.839840967604687,22.373011214260032
84,-17.069786072186137,-17.099964165213763,-17.074750636945595,36.265632587347554,36.85203400787892,36.94253558280522
86,-16.72723389149511,-16.766008029122908,-16.782699305524787,25.84727658402869,26.867380336000792,26.394005341282877
